dataset,model,condition,seed,loss,n_params,hit@10,ndcg@10,mrr@10,recall@10,timestamp
kuairand_pure,HGN,-,2020,BPR,2401088,0.028,0.0145,0.0104,0.028,20260812-160748
kuairand_pure,HGN,-,2020,BPR,2399168,0.029,0.0131,0.0084,0.029,20260812-175100
kuairand_pure,HGN,base,2020,BPR,2399168,0.029,0.0131,0.0084,0.029,20260814-112448
kuairand_pure,HGRU4Rec,-,2020,BPR,1981248,0.0449,0.0232,0.0166,0.0449,20260812-181006
kuairand_pure,HGRU4Rec,base,2020,BPR,1981248,0.0479,0.0247,0.0177,0.0479,20260814-112550
kuairand_pure,SASRec,-,2020,CE,564800,0.0785,0.0394,0.0277,0.0785,20260812-160222
kuairand_pure,SASRec,-,2020,CE,562880,0.0795,0.0397,0.0279,0.0795,20260812-174721
kuairand_pure,SASRec,sasrec,2020,CE,562880,0.0776,0.0389,0.0274,0.0776,20260814-105702
kuairand_pure,SASRec,seed403092,403092,CE,562880,0.0793,0.04,0.0283,0.0793,20260815-155057
kuairand_pure_ctx,CAFREC,-,2020,CE,2050497,0.073,0.0364,0.0255,0.073,20260812-184720
kuairand_pure_ctx,CAFREC,bge_s403092,403092,CE,24108417,0.0795,0.0408,0.0293,0.0795,20260815-155037
kuairand_pure_ctx,CAFREC,noprof,2020,CE,2050497,0.0791,0.0399,0.0281,0.0791,20260814-105637
kuairand_pure_ctx,CAFREC,noprof_s403092,403092,CE,2050497,0.0807,0.0412,0.0293,0.0807,20260815-155033
kuairand_pure_ctx,CAFREC,prof_7b,2020,CE,94693761,0.0805,0.0403,0.0282,0.0805,20260814-105703
kuairand_pure_ctx,CAFREC,prof_bge,2020,CE,24108417,0.0786,0.04,0.0285,0.0786,20260814-105649
kuairand_pure_ctx,CAFREC,standin,2020,CE,2050497,0.0725,0.0354,0.0244,0.0725,20260814-105654
